Epoch 1 — Train Loss: 0.1377, Val Loss: 0.0977, LR: 0.000100
Epoch 2 — Train Loss: 0.0613, Val Loss: 0.0513, LR: 0.000100
Epoch 3 — Train Loss: 0.0506, Val Loss: 0.0477, LR: 0.000100
Epoch 4 — Train Loss: 0.0483, Val Loss: 0.0423, LR: 0.000100
Epoch 5 — Train Loss: 0.0476, Val Loss: 0.0419, LR: 0.000100
Epoch 6 — Train Loss: 0.0469, Val Loss: 0.0434, LR: 0.000100
Epoch 7 — Train Loss: 0.0461, Val Loss: 0.0405, LR: 0.000100
Epoch 8 — Train Loss: 0.0453, Val Loss: 0.0429, LR: 0.000100
Epoch 9 — Train Loss: 0.0449, Val Loss: 0.0398, LR: 0.000100
Epoch 10 — Train Loss: 0.0444, Val Loss: 0.0418, LR: 0.000100
Epoch 11 — Train Loss: 0.0454, Val Loss: 0.0421, LR: 0.000100
Epoch 12 — Train Loss: 0.0445, Val Loss: 0.0395, LR: 0.000100
Epoch 13 — Train Loss: 0.0438, Val Loss: 0.0404, LR: 0.000100
Epoch 14 — Train Loss: 0.0433, Val Loss: 0.0400, LR: 0.000100
Epoch 15 — Train Loss: 0.0428, Val Loss: 0.0398, LR: 0.000100
Epoch 16 — Train Loss: 0.0428, Val Loss: 0.0392, LR: 0.000100
Epoch 17 — Train Loss: 0.0423, Val Loss: 0.0394, LR: 0.000100
Epoch 18 — Train Loss: 0.0420, Val Loss: 0.0419, LR: 0.000100
Epoch 19 — Train Loss: 0.0417, Val Loss: 0.0402, LR: 0.000100
Epoch 20 — Train Loss: 0.0417, Val Loss: 0.0430, LR: 0.000100
Epoch 21 — Train Loss: 0.0415, Val Loss: 0.0399, LR: 0.000100
Epoch 22 — Train Loss: 0.0416, Val Loss: 0.0380, LR: 0.000100
Epoch 23 — Train Loss: 0.0412, Val Loss: 0.0390, LR: 0.000100
Epoch 24 — Train Loss: 0.0413, Val Loss: 0.0394, LR: 0.000100
Epoch 25 — Train Loss: 0.0412, Val Loss: 0.0408, LR: 0.000100
Epoch 26 — Train Loss: 0.0409, Val Loss: 0.0381, LR: 0.000100
Epoch 27 — Train Loss: 0.0408, Val Loss: 0.0391, LR: 0.000100
Epoch 28 — Train Loss: 0.0407, Val Loss: 0.0406, LR: 0.000050
Epoch 29 — Train Loss: 0.0396, Val Loss: 0.0399, LR: 0.000050
Epoch 30 — Train Loss: 0.0393, Val Loss: 0.0400, LR: 0.000050
Epoch 31 — Train Loss: 0.0392, Val Loss: 0.0389, LR: 0.000050
Epoch 32 — Train Loss: 0.0391, Val Loss: 0.0387, LR: 0.000050
Epoch 33 — Train Loss: 0.0390, Val Loss: 0.0386, LR: 0.000050
Epoch 34 — Train Loss: 0.0390, Val Loss: 0.0382, LR: 0.000025
Epoch 35 — Train Loss: 0.0384, Val Loss: 0.0393, LR: 0.000025
Epoch 36 — Train Loss: 0.0383, Val Loss: 0.0393, LR: 0.000025
Epoch 37 — Train Loss: 0.0382, Val Loss: 0.0373, LR: 0.000025
Epoch 38 — Train Loss: 0.0382, Val Loss: 0.0390, LR: 0.000025
Epoch 39 — Train Loss: 0.0381, Val Loss: 0.0396, LR: 0.000025
Epoch 40 — Train Loss: 0.0381, Val Loss: 0.0387, LR: 0.000025
Epoch 41 — Train Loss: 0.0381, Val Loss: 0.0406, LR: 0.000025
Epoch 42 — Train Loss: 0.0379, Val Loss: 0.0396, LR: 0.000025
Epoch 43 — Train Loss: 0.0379, Val Loss: 0.0391, LR: 0.000013
Epoch 44 — Train Loss: 0.0375, Val Loss: 0.0372, LR: 0.000013
Epoch 45 — Train Loss: 0.0374, Val Loss: 0.0373, LR: 0.000013
Epoch 46 — Train Loss: 0.0374, Val Loss: 0.0395, LR: 0.000013
Epoch 47 — Train Loss: 0.0373, Val Loss: 0.0392, LR: 0.000013
Epoch 48 — Train Loss: 0.0373, Val Loss: 0.0382, LR: 0.000013
Epoch 49 — Train Loss: 0.0372, Val Loss: 0.0377, LR: 0.000013
Epoch 50 — Train Loss: 0.0372, Val Loss: 0.0386, LR: 0.000006
Epoch 51 — Train Loss: 0.0370, Val Loss: 0.0383, LR: 0.000006
Epoch 52 — Train Loss: 0.0370, Val Loss: 0.0385, LR: 0.000006
Epoch 53 — Train Loss: 0.0369, Val Loss: 0.0376, LR: 0.000006
Epoch 54 — Train Loss: 0.0369, Val Loss: 0.0380, LR: 0.000006
Epoch 55 — Train Loss: 0.0369, Val Loss: 0.0379, LR: 0.000006
Epoch 56 — Train Loss: 0.0369, Val Loss: 0.0374, LR: 0.000003
Epoch 57 — Train Loss: 0.0367, Val Loss: 0.0372, LR: 0.000003
Epoch 58 — Train Loss: 0.0367, Val Loss: 0.0374, LR: 0.000003
Epoch 59 — Train Loss: 0.0368, Val Loss: 0.0398, LR: 0.000003
Epoch 60 — Train Loss: 0.0366, Val Loss: 0.0393, LR: 0.000003
Epoch 61 — Train Loss: 0.0367, Val Loss: 0.0394, LR: 0.000003
Epoch 62 — Train Loss: 0.0366, Val Loss: 0.0381, LR: 0.000003
